Area,No DSS,DSS accepted,Grand Total
west_london,1029,15,1044
manchester,841,33,874
south_east_london,858,10,868
south_west_london,846,3,849
birmingham,811,28,839
east_london,801,6,807
north_west_london,780,5,785
brighton,721,25,746
leeds,617,25,642
newcastle_upon_tyne,577,16,593
sheffield,531,25,556
southampton,538,8,546
nottingham,500,43,543
north_london,517,3,520
london,466,1,467
bristol,412,8,420
central_london,285,,285
plymouth,129,15,144
stoke-on-trent,101,4,105
oxford,39,,39
norwich,34,,34
exeter,34,,34
bournemouth,24,,24
reading,19,,19
liverpool,15,,15
leicester,8,,8
